,player_name,cluster
0,A Ashish Reddy,0
1,A Chandila,0
2,A Choudhary,5
4,A Flintoff,5
5,A Kumble,4
6,A Mishra,2
7,A Mithun,0
8,A Nehra,6
9,A Nel,5
10,A Singh,3
11,A Symonds,3
12,A Uniyal,5
13,A Zampa,0
14,AA Chavan,0
15,AA Jhunjhunwala,5
17,AA Noffke,5
18,AB Agarkar,4
19,AB Dinda,1
20,AB McDonald,0
21,AC Gilchrist,5
22,AC Thomas,0
24,AD Mascarenhas,0
25,AD Mathews,4
26,AD Russell,4
27,AF Milne,5
28,AG Murtaza,0
29,AJ Finch,5
30,AJ Tye,3
31,AL Menaria,5
32,AM Nayar,0
33,AM Rahane,5
34,AM Salvi,5
35,AN Ahmed,0
36,AP Dole,5
37,AR Patel,1
38,AS Rajpoot,0
42,Anand Rajan,5
43,Ankit Sharma,0
44,Ankit Soni,5
45,Anureet Singh,3
46,Avesh Khan,5
47,Azhar Mahmood,3
48,B Akhil,0
50,B Geeves,5
51,B Kumar,6
52,B Laughlin,0
53,B Lee,4
54,B Stanlake,5
55,BA Bhatt,0
56,BA Stokes,3
57,BAW Mendis,0
58,BB Sran,3
59,BCJ Cutting,0
60,BE Hendricks,0
61,BJ Hodge,0
63,BMAJ Mendis,5
64,BW Hilfenhaus,0
65,Basil Thampi,3
66,Bipul Sharma,3
69,C Nanda,5
70,C de Grandhomme,0
71,CH Gayle,3
72,CH Morris,4
73,CJ Anderson,0
75,CJ Jordan,0
76,CJ McKay,5
78,CK Langeveldt,5
79,CL White,5
80,CR Brathwaite,0
81,CR Woakes,3
82,CRD Fernando,0
83,D Kalyankrishna,5
84,D Salunkhe,5
85,D Wiese,0
86,D du Preez,5
87,DAJ Bracewell,5
88,DB Ravi Teja,5
89,DE Bollinger,3
90,DJ Bravo,2
92,DJ Hooda,0
93,DJ Hussey,0
94,DJ Muthuswami,5
95,DJ Thornely,5
96,DJ Willey,5
97,DJG Sammy,0
98,DJM Short,5
99,DL Chahar,0
100,DL Vettori,3
101,DNT Zoysa,5
102,DP Nannes,3
103,DP Vijaykumar,5
104,DR Smith,3
105,DS Kulkarni,1
106,DT Christian,4
107,DW Steyn,6
109,FH Edwards,5
111,GB Hogg,3
112,GD McGrath,0
113,GH Vihari,5
114,GJ Maxwell,3
115,GR Napier,5
116,GS Sandhu,5
117,Gagandeep Singh,5
118,Gurkeerat Singh,5
119,HH Pandya,3
120,HV Patel,4
121,Harbhajan Singh,2
122,Harmeet Singh,3
124,I Sharma,6
125,IC Pandey,3
126,IK Pathan,6
127,IS Sodhi,5
128,Imran Tahir,4
129,Iqbal Abdulla,4
130,J Botha,3
131,J Suchith,0
132,J Syed Mohammad,0
133,J Theron,0
134,J Yadav,5
135,JA Morkel,6
136,JC Archer,0
137,JD Ryder,0
138,JD Unadkat,1
139,JDP Oram,0
140,JDS Neesham,5
141,JE Taylor,5
142,JEC Franklin,5
143,JH Kallis,6
144,JJ Bumrah,1
145,JJ van der Wath,5
146,JM Kemp,5
147,JO Holder,0
148,JP Duminy,3
149,JP Faulkner,1
150,JPR Scantlebury-Searles,5
151,JR Hopes,3
152,JW Hastings,5
153,Jaskaran Singh,5
154,Joginder Sharma,0
156,K Gowtham,0
157,K Khejroliya,5
158,K Rabada,5
159,K Santokie,5
161,KA Pollard,1
163,KC Cariappa,0
164,KH Pandya,3
165,KJ Abbott,5
167,KK Cooper,3
168,KM Asif,5
169,KMDN Kulasekara,5
170,KP Appanna,0
171,KP Pietersen,5
173,KV Sharma,4
174,KW Richardson,0
175,Kamran Khan,5
176,Karanveer Singh,0
177,Kuldeep Yadav,3
178,L Ablish,5
179,L Balaji,1
180,L Ngidi,5
181,LA Carseldine,5
182,LE Plunkett,5
183,LH Ferguson,5
184,LJ Wright,5
185,LMP Simmons,5
187,LR Shukla,0
189,M Ashwin,0
190,M Kartik,4
192,M Markande,0
193,M Morkel,1
194,M Muralitharan,1
195,M Ntini,0
196,M Prasidh Krishna,0
198,M de Lange,5
199,MA Khote,5
200,MA Starc,3
203,MC Henriques,4
204,MF Maharoof,3
205,MG Johnson,1
207,MJ Clarke,5
208,MJ Henry,5
209,MJ McClenaghan,1
211,MK Tiwary,5
212,MM Ali,5
213,MM Patel,1
214,MM Sharma,6
215,MN Samuels,0
216,MP Stoinis,0
217,MR Marsh,0
218,MS Gony,4
220,Mohammad Asif,0
221,Mohammad Hafeez,5
222,Mohammad Nabi,5
223,Mohammed Shami,4
224,Mohammed Siraj,3
225,Mujeeb Ur Rahman,0
226,Mustafizur Rahman,3
227,N Rana,5
228,NB Singh,5
229,ND Doshi,5
232,NLTC Perera,4
233,NM Coulter-Nile,3
234,P Amarnath,0
235,P Awana,4
236,P Kumar,2
237,P Negi,3
238,P Parameswaran,5
240,P Sahu,5
241,P Suyal,5
242,PC Valthaty,5
243,PD Collingwood,5
244,PJ Cummins,0
245,PJ Sangwan,4
246,PM Sarvesh Kumar,5
247,PP Chawla,2
248,PP Ojha,6
249,PV Tambe,3
250,Pankaj Singh,0
251,Parvez Rasool,0
252,R Ashwin,2
253,R Bhatia,1
254,R Dhawan,3
255,R McLaren,3
256,R Ninan,5
257,R Rampaul,0
258,R Sathish,0
259,R Sharma,4
260,R Shukla,5
261,R Tewatia,0
262,R Vinay Kumar,2
263,RA Jadeja,6
266,RD Chahar,5
267,RE van der Merwe,0
268,RG More,5
269,RG Sharma,0
270,RJ Harris,4
271,RJ Peterson,5
272,RN ten Doeschate,5
273,RP Singh,6
276,RR Powar,3
277,RR Raje,5
278,RS Bopara,0
280,RV Gomez,5
282,Rashid Khan,3
283,S Aravind,4
284,S Badree,0
285,S Dhawan,5
286,S Gopal,0
287,S Kaul,4
288,S Kaushik,0
289,S Ladda,5
290,S Lamichhane,5
291,S Nadeem,4
292,S Narwal,5
294,S Randiv,5
295,S Sreesanth,4
297,S Tyagi,0
298,S Vidyut,5
301,SB Bangar,5
302,SB Jakati,4
303,SB Joshi,5
304,SB Styris,0
305,SB Wagh,5
306,SC Ganguly,0
307,SD Chitnis,5
308,SE Bond,5
309,SJ Srivastava,0
310,SK Raina,4
311,SK Trivedi,1
312,SK Warne,4
313,SL Malinga,2
314,SM Boland,5
315,SM Harwood,5
316,SM Pollock,0
317,SMSM Senanayake,5
318,SN Thakur,3
319,SP Narine,6
322,SR Watson,6
323,SS Agarwal,5
324,SS Mundhe,5
325,SS Sarkar,5
326,ST Jayasuriya,0
327,STR Binny,3
328,SW Tait,3
329,Sachin Baby,5
330,Sandeep Sharma,1
331,Shahid Afridi,5
332,Shakib Al Hasan,1
333,Shivam Mavi,0
334,Shivam Sharma,5
