BenefitName,BusinessYear,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,CopayInnTier1,CopayInnTier2,CopayOutofNet,EHBVarReason,Exclusions,Explanation,ImportDate,IsCovered,IsEHB,IsExclFromInnMOOP,IsExclFromOonMOOP,IsStateMandate,IsSubjToDedTier1,IsSubjToDedTier2,IssuerId,IssuerId2,LimitQty,LimitUnit,MinimumStay,PlanId,QuantLimitOnSvc,RowNumber,SourceName,StandardComponentId,StateCode,StateCode2,VersionNum
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0010001-00,Yes,68,HIOS,21989AK0010001,AK,AK,6
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0010001-00,Yes,104,HIOS,21989AK0010001,AK,AK,6
Basic Dental Care - Child,2014,40%,,40%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-00,,110,HIOS,21989AK0010001,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-00,,111,HIOS,21989AK0010001,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-00,,112,HIOS,21989AK0010001,AK,AK,6
Basic Dental Care - Adult,2014,40%,,40%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, 6 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0010001-00,Yes,113,HIOS,21989AK0010001,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0010001-00,,114,HIOS,21989AK0010001,AK,AK,6
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, 12 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0010001-00,Yes,115,HIOS,21989AK0010001,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0010001-00,,118,HIOS,21989AK0010001,AK,AK,6
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0010001-01,Yes,68,HIOS,21989AK0010001,AK,AK,6
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0010001-01,Yes,104,HIOS,21989AK0010001,AK,AK,6
Basic Dental Care - Child,2014,40%,,40%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-01,,110,HIOS,21989AK0010001,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-01,,111,HIOS,21989AK0010001,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0010001-01,,112,HIOS,21989AK0010001,AK,AK,6
Basic Dental Care - Adult,2014,40%,,40%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, 6 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0010001-01,Yes,113,HIOS,21989AK0010001,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0010001-01,,114,HIOS,21989AK0010001,AK,AK,6
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, 12 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0010001-01,Yes,115,HIOS,21989AK0010001,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0010001-01,,118,HIOS,21989AK0010001,AK,AK,6
Routine Dental Services (Adult),2014,0%,,0%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0020001-00,Yes,68,HIOS,21989AK0020001,AK,AK,6
Dental Check-Up for Children,2014,0%,,0%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0020001-00,Yes,104,HIOS,21989AK0020001,AK,AK,6
Basic Dental Care - Child,2014,30%,,30%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-00,,110,HIOS,21989AK0020001,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-00,,111,HIOS,21989AK0020001,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-00,,112,HIOS,21989AK0020001,AK,AK,6
Basic Dental Care - Adult,2014,30%,,30%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020001-00,Yes,113,HIOS,21989AK0020001,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020001-00,,114,HIOS,21989AK0020001,AK,AK,6
