player_name,cluster
A Ashish Reddy,2
A Chopra,7
A Choudhary,7
A Flintoff,7
A Kumble,7
A Mishra,6
A Mithun,7
A Mukund,7
A Nehra,7
A Singh,7
A Symonds,0
A Uniyal,7
A Zampa,7
AA Bilakhia,7
AA Chavan,7
AA Jhunjhunwala,2
AA Noffke,7
AB Agarkar,2
AB Barath,7
AB Dinda,7
AB McDonald,2
AB de Villiers,1
AC Blizzard,2
AC Gilchrist,4
AC Thomas,7
AC Voges,2
AD Hales,2
AD Mascarenhas,7
AD Mathews,0
AD Nath,7
AD Russell,0
AF Milne,7
AG Murtaza,7
AG Paunikar,7
AJ Finch,4
AJ Tye,7
AL Menaria,6
AM Nayar,0
AM Rahane,8
AN Ahmed,7
AN Ghosh,7
AP Dole,7
AP Majumdar,7
AP Tare,6
AR Patel,0
AS Rajpoot,7
AS Raut,2
AS Yadav,7
AT Rayudu,8
AUK Pathan,7
Abhishek Sharma,7
Anirudh Singh,7
Ankit Sharma,7
Ankit Soni,7
Anureet Singh,7
Azhar Mahmood,6
B Akhil,7
B Chipli,6
B Kumar,2
B Laughlin,7
B Lee,2
B Sumanth,7
BA Bhatt,7
BA Stokes,6
BAW Mendis,7
BB McCullum,8
BB Samantray,2
BB Sran,7
BCJ Cutting,2
BE Hendricks,7
BJ Haddin,7
BJ Hodge,5
BJ Rohrer,2
BMAJ Mendis,7
BR Dunk,7
Basil Thampi,7
Bipul Sharma,2
C Madan,7
C Munro,2
C Nanda,7
C de Grandhomme,2
CA Ingram,7
CA Lynn,0
CA Pujara,6
CH Gayle,1
CH Morris,6
CJ Anderson,6
CJ Ferguson,2
CJ Jordan,7
CJ McKay,7
CK Kapugedera,7
CK Langeveldt,7
CL White,0
CM Gautam,2
CR Brathwaite,2
CR Woakes,7
D Kalyankrishna,7
D Salunkhe,7
D Wiese,2
D du Preez,7
DA Miller,4
DA Warner,1
DB Das,6
DB Ravi Teja,6
DE Bollinger,7
DH Yagnik,2
DJ Bravo,5
DJ Harris,2
DJ Hooda,6
DJ Hussey,5
DJ Jacobs,2
DJ Muthuswami,7
DJ Thornely,7
DJG Sammy,6
DJM Short,2
DL Chahar,7
DL Vettori,2
DNT Zoysa,7
DP Nannes,7
DPMD Jayawardene,4
DR Martyn,7
DR Shorey,7
DR Smith,3
DS Kulkarni,2
DS Lehmann,7
DT Christian,6
DT Patil,7
DW Steyn,2
E Lewis,6
EJG Morgan,0
ER Dwivedi,7
F Behardien,7
F du Plessis,5
FH Edwards,7
FY Fazal,2
G Gambhir,1
GB Hogg,7
GC Smith,0
GD McGrath,7
GH Vihari,6
GJ Bailey,0
GJ Maxwell,5
GR Napier,7
Gurkeerat Singh,6
H Das,7
H Klaasen,7
HH Gibbs,0
HH Pandya,0
HM Amla,6
HV Patel,2
Harbhajan Singh,0
Harmeet Singh,7
Harpreet Singh,7
I Sharma,7
IC Pandey,7
IK Pathan,5
IR Jaggi,7
IS Sodhi,7
Imran Tahir,7
Iqbal Abdulla,2
Ishan Kishan,6
J Arunkumar,7
J Botha,6
J Suchith,7
J Syed Mohammad,7
J Theron,7
J Yadav,7
JA Morkel,0
JC Archer,7
JC Buttler,0
JD Ryder,6
JD Unadkat,7
JDP Oram,2
JDS Neesham,7
JE Taylor,7
JEC Franklin,6
JH Kallis,3
JJ Bumrah,7
JJ Roy,2
JJ van der Wath,7
JM Kemp,7
JO Holder,7
JP Duminy,4
JP Faulkner,6
JPR Scantlebury-Searles,7
JR Hopes,6
Jaskaran Singh,7
Joginder Sharma,7
K Goel,2
K Gowtham,2
K Rabada,7
KA Pollard,3
KAJ Roach,7
KB Arun Karthik,7
KC Cariappa,7
KC Sangakkara,4
KD Karthik,8
KH Pandya,0
KJ Abbott,7
KK Cooper,2
KK Nair,5
KL Rahul,5
KM Jadhav,0
KP Appanna,7
KP Pietersen,0
KS Williamson,5
KV Sharma,6
KW Richardson,7
Kamran Akmal,2
Kamran Khan,7
Karanveer Singh,7
Kuldeep Yadav,7
L Balaji,7
L Ronchi,7
LA Carseldine,7
LA Pomersbach,6
LE Plunkett,7
LJ Wright,2
LMP Simmons,5
LPC Silva,7
LR Shukla,6
LRPL Taylor,0
M Ashwin,7
M Kaif,2
M Kartik,2
M Klinger,7
M Manhas,6
M Markande,7
M Morkel,2
M Muralitharan,7
M Ntini,7
M Rawat,7
M Vijay,3
M Vohra,0
M de Lange,7
MA Agarwal,0
MA Khote,7
MA Starc,2
MA Wood,7
MC Henriques,0
MC Juneja,2
MD Mishra,2
MDKJ Perera,7
MEK Hussey,4
MF Maharoof,2
MG Johnson,2
MJ Clarke,2
MJ Guptill,2
MJ Lumb,2
MJ McClenaghan,7
MK Lomror,7
MK Pandey,3
MK Tiwary,4
ML Hayden,5
MM Ali,7
MM Patel,7
MM Sharma,2
MN Samuels,2
MN van Wyk,2
MP Stoinis,2
MR Marsh,2
MS Bisla,0
MS Dhoni,1
MS Gony,2
MS Wade,7
MV Boucher,6
Mandeep Singh,5
Misbah-ul-Haq,2
Mohammad Ashraful,7
Mohammad Asif,7
Mohammad Hafeez,7
Mohammad Nabi,7
Mohammed Shami,7
Mohammed Siraj,7
Mujeeb Ur Rahman,7
Mustafizur Rahman,7
N Rana,0
N Saini,2
ND Doshi,7
NJ Maddinson,7
NK Patel,2
NL McCullum,7
NLTC Perera,6
NM Coulter-Nile,7
NS Naik,7
NV Ojha,4
OA Shah,6
P Awana,7
P Chopra,7
P Dogra,2
P Kumar,6
P Negi,6
P Sahu,7
PA Patel,3
PA Reddy,2
PC Valthaty,6
PD Collingwood,2
PJ Cummins,7
PJ Sangwan,7
PP Chawla,6
PP Ojha,7
PP Shaw,2
PR Shah,2
PSP Handscomb,7
PV Tambe,7
Pankaj Singh,7
Parvez Rasool,7
Q de Kock,0
R Ashwin,6
R Bhatia,6
R Bishnoi,7
R Dhawan,2
R Dravid,3
R McLaren,2
R Ninan,7
R Rampaul,7
R Sathish,2
R Sharma,7
R Shukla,7
R Tewatia,7
R Vinay Kumar,6
RA Jadeja,4
RA Tripathi,6
RE Levi,7
RE van der Merwe,2
RG Sharma,9
RJ Harris,2
RJ Peterson,7
RJ Quiney,2
RK Bhui,7
RK Singh,7
RN ten Doeschate,6
RP Singh,7
RR Bhatkal,7
RR Pant,5
RR Powar,7
RR Raje,7
RR Rossouw,7
RR Sarwan,7
RS Bopara,6
RS Gavaskar,7
RT Ponting,2
RV Gomez,7
RV Uthappa,1
Rashid Khan,7
S Anirudha,2
S Aravind,7
S Badree,7
S Badrinath,5
S Chanderpaul,7
S Dhawan,1
S Gopal,7
S Kaul,7
S Kaushik,7
S Ladda,7
S Nadeem,7
S Narwal,7
S Rana,2
S Randiv,7
S Sohal,6
S Sreesanth,7
S Sriram,7
S Tyagi,7
S Vidyut,2
SA Abbott,7
SA Asnodkar,6
SA Yadav,5
SB Bangar,7
SB Jakati,7
SB Joshi,7
SB Styris,2
SB Wagh,7
SC Ganguly,5
SD Chitnis,2
SE Bond,7
SE Marsh,3
SJ Srivastava,7
SK Raina,9
SK Trivedi,7
SK Warne,2
SL Malinga,2
SM Katich,2
SM Pollock,2
SMSM Senanayake,7
SN Khan,2
SN Thakur,7
SP Fleming,2
SP Goswami,6
SP Jackson,7
SP Narine,6
SPD Smith,4
SR Tendulkar,3
SR Watson,8
SS Iyer,5
SS Shaikh,7
SS Tiwary,5
ST Jayasuriya,0
STR Binny,0
SV Samson,4
SW Billings,6
SW Tait,7
Sachin Baby,2
Salman Butt,2
Sandeep Sharma,7
Shahid Afridi,7
Shakib Al Hasan,0
Shivam Mavi,7
Shivam Sharma,7
Shoaib Ahmed,7
Shoaib Akhtar,7
Shoaib Malik,7
Shubman Gill,2
Sohail Tanvir,7
Sunny Gupta,7
Sunny Singh,7
Swapnil Singh,7
T Henderson,7
T Kohli,7
T Taibu,7
T Thushara,7
TA Boult,7
TD Paine,7
TG Southee,2
TK Curran,7
TL Suman,0
TM Dilshan,5
TM Head,2
TM Srivastava,7
TR Birt,7
TS Mills,7
UA Birla,7
UBT Chand,6
UT Khawaja,2
UT Yadav,2
Umar Gul,7
V Kohli,9
V Pratap Singh,7
V Sehwag,3
V Shankar,6
VH Zol,7
VR Aaron,7
VRV Singh,7
VS Malik,7
VS Yeligati,7
VVS Laxman,6
VY Mahesh,7
Vishnu Vinod,7
W Jaffer,2
WA Mota,7
WD Parnell,7
WP Saha,4
WPUJC Vaas,7
Washington Sundar,7
X Thalaivan Sargunam,7
Y Gnaneswara Rao,7
Y Nagar,6
Y Venugopal Rao,0
YK Pathan,8
YS Chahal,7
YV Takawale,2
Yashpal Singh,7
Younis Khan,7
Yuvraj Singh,3
Z Khan,2
