"batsman","bowler","P0","P1","P2","P3","P4","P6","p_not_out"
"A Ashish Reddy","A Nehra",0.555555555555556,0.333333333333333,0,0,0.111111111111111,0,0.888888888888889
"A Ashish Reddy","AB Dinda",0.142857142857143,0.714285714285714,0,0,0.142857142857143,0,NA
"A Ashish Reddy","AD Mathews",0.166666666666667,0.416666666666667,0.166666666666667,0,0.0833333333333333,0.166666666666667,NA
"A Ashish Reddy","AD Russell",0,0.666666666666667,0.333333333333333,0,0,0,NA
"A Ashish Reddy","Anureet Singh",0,1,0,0,0,0,NA
"A Ashish Reddy","Azhar Mahmood",0.333333333333333,0.666666666666667,0,0,0,0,NA
"A Ashish Reddy","B Kumar",0,1,0,0,0,0,NA
"A Ashish Reddy","BW Hilfenhaus",0.5,0,0.5,0,0,0,0.5
"A Ashish Reddy","CH Morris",0.2,0.4,0,0.2,0,0.2,NA
"A Ashish Reddy","DJ Bravo",0.307692307692308,0.307692307692308,0.0769230769230769,0,0.230769230769231,0.0769230769230769,0.923076923076923
"A Ashish Reddy","Harbhajan Singh",0.375,0.375,0.125,0,0,0.125,NA
"A Ashish Reddy","Imran Tahir",0,1,0,0,0,0,NA
"A Ashish Reddy","J Botha",1,0,0,0,0,0,NA
"A Ashish Reddy","JEC Franklin",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,NA
"A Ashish Reddy","JP Duminy",0,1,0,0,0,0,NA
"A Ashish Reddy","JP Faulkner",0.5,0,0.5,0,0,0,NA
"A Ashish Reddy","KA Pollard",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.666666666666667
"A Ashish Reddy","KK Cooper",0.2,0.4,0.2,0,0.2,0,NA
"A Ashish Reddy","M Kartik",0.375,0.5,0.125,0,0,0,NA
"A Ashish Reddy","M Morkel",0.2,0.6,0.2,0,0,0,0.8
"A Ashish Reddy","MG Johnson",0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,NA
"A Ashish Reddy","MM Patel",1,0,0,0,0,0,0.5
"A Ashish Reddy","MM Sharma",0,0.5,0,0,0,0.5,NA
"A Ashish Reddy","MR Marsh",0,1,0,0,0,0,NA
"A Ashish Reddy","MS Gony",0.5,0.25,0,0,0.25,0,NA
"A Ashish Reddy","NM Coulter-Nile",1,0,0,0,0,0,NA
"A Ashish Reddy","P Awana",1,0,0,0,0,0,0.5
"A Ashish Reddy","P Kumar",0.25,0.5,0,0,0.25,0,NA
"A Ashish Reddy","Parvez Rasool",0.222222222222222,0.444444444444444,0,0,0.222222222222222,0.111111111111111,NA
