"batsman","bowler","P0","P1","P2","P3","P4","P6"
"A Ashish Reddy","A Nehra",0.555555555555556,0.333333333333333,0,0,0.111111111111111,0
"A Ashish Reddy","AB Dinda",0.142857142857143,0.714285714285714,0,0,0.142857142857143,0
"A Ashish Reddy","AD Mathews",0.166666666666667,0.416666666666667,0.166666666666667,0,0.0833333333333333,0.166666666666667
"A Ashish Reddy","AD Russell",0,0.666666666666667,0.333333333333333,0,0,0
"A Ashish Reddy","Anureet Singh",0,1,0,0,0,0
"A Ashish Reddy","Azhar Mahmood",0.333333333333333,0.666666666666667,0,0,0,0
"A Ashish Reddy","B Kumar",0,1,0,0,0,0
"A Ashish Reddy","BW Hilfenhaus",0.5,0,0.5,0,0,0
"A Ashish Reddy","CH Morris",0.2,0.4,0,0.2,0,0.2
"A Ashish Reddy","DJ Bravo",0.307692307692308,0.307692307692308,0.0769230769230769,0,0.230769230769231,0.0769230769230769
"A Ashish Reddy","Harbhajan Singh",0.375,0.375,0.125,0,0,0.125
"A Ashish Reddy","Imran Tahir",0,1,0,0,0,0
"A Ashish Reddy","J Botha",1,0,0,0,0,0
"A Ashish Reddy","JEC Franklin",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Ashish Reddy","JP Duminy",0,1,0,0,0,0
"A Ashish Reddy","JP Faulkner",0.5,0,0.5,0,0,0
"A Ashish Reddy","KA Pollard",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Ashish Reddy","KK Cooper",0.2,0.4,0.2,0,0.2,0
"A Ashish Reddy","M Kartik",0.375,0.5,0.125,0,0,0
"A Ashish Reddy","M Morkel",0.2,0.6,0.2,0,0,0
"A Ashish Reddy","MG Johnson",0,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"A Ashish Reddy","MM Patel",1,0,0,0,0,0
"A Ashish Reddy","MM Sharma",0,0.5,0,0,0,0.5
"A Ashish Reddy","MR Marsh",0,1,0,0,0,0
"A Ashish Reddy","MS Gony",0.5,0.25,0,0,0.25,0
"A Ashish Reddy","NM Coulter-Nile",1,0,0,0,0,0
"A Ashish Reddy","P Awana",1,0,0,0,0,0
"A Ashish Reddy","P Kumar",0.25,0.5,0,0,0.25,0
"A Ashish Reddy","Parvez Rasool",0.222222222222222,0.444444444444444,0,0,0.222222222222222,0.111111111111111
"A Ashish Reddy","PP Chawla",0,1,0,0,0,0
"A Ashish Reddy","PV Tambe",0.25,0.75,0,0,0,0
"A Ashish Reddy","R Vinay Kumar",0.272727272727273,0.545454545454545,0.0909090909090909,0,0,0.0909090909090909
"A Ashish Reddy","RJ Peterson",0.6,0.2,0,0,0,0.2
"A Ashish Reddy","RP Singh",0.5,0.5,0,0,0,0
"A Ashish Reddy","Sandeep Sharma",0,0.333333333333333,0,0,0,0.666666666666667
"A Ashish Reddy","SL Malinga",0.5,0.25,0.25,0,0,0
"A Ashish Reddy","SMSM Senanayake",0.5,0.25,0.25,0,0,0
"A Ashish Reddy","SP Narine",0,1,0,0,0,0
"A Ashish Reddy","SR Watson",0.4,0.6,0,0,0,0
"A Ashish Reddy","STR Binny",0.25,0.5,0.25,0,0,0
"A Ashish Reddy","SW Tait",0.25,0,0.25,0,0.5,0
"A Ashish Reddy","TG Southee",0.25,0.25,0.25,0,0,0.25
"A Ashish Reddy","UT Yadav",0.2,0.4,0.1,0,0.2,0.1
"A Ashish Reddy","YS Chahal",0.571428571428571,0.142857142857143,0,0,0,0.285714285714286
"A Chandila","R Rampaul",0.5,0.5,0,0,0,0
"A Chandila","R Vinay Kumar",0.5,0.5,0,0,0,0
"A Chandila","RP Singh",0,1,0,0,0,0
"A Chandila","V Pratap Singh",1,0,0,0,0,0
"A Chopra","DP Vijaykumar",0.8,0.2,0,0,0,0
"A Chopra","DW Steyn",0.75,0.25,0,0,0,0
"A Chopra","GD McGrath",0.5,0.5,0,0,0,0
"A Chopra","Harmeet Singh",0.875,0,0,0,0.125,0
"A Chopra","JR Hopes",0.5,0.5,0,0,0,0
"A Chopra","PJ Sangwan",0.7,0.2,0,0,0.1,0
"A Chopra","PP Chawla",0,1,0,0,0,0
"A Chopra","PP Ojha",0.5,0.5,0,0,0,0
"A Chopra","RP Singh",0.166666666666667,0.5,0.166666666666667,0,0.166666666666667,0
"A Chopra","SB Bangar",0.25,0.25,0,0,0.5,0
"A Chopra","SB Styris",0.714285714285714,0.142857142857143,0,0,0.142857142857143,0
"A Chopra","SM Pollock",0.75,0.25,0,0,0,0
"A Chopra","VY Mahesh",0.5,0.25,0,0,0.25,0
"A Chopra","WPUJC Vaas",0.5,0.5,0,0,0,0
"A Chopra","Y Venugopal Rao",0.714285714285714,0.142857142857143,0.142857142857143,0,0,0
"A Chopra","Z Khan",0,1,0,0,0,0
"A Choudhary","AJ Tye",0.333333333333333,0.666666666666667,0,0,0,0
"A Choudhary","AR Patel",0,1,0,0,0,0
"A Choudhary","Basil Thampi",0,0.5,0.25,0,0.25,0
"A Choudhary","BCJ Cutting",0.5,0,0,0,0,0.5
"A Choudhary","JP Faulkner",0,1,0,0,0,0
"A Choudhary","MM Sharma",0.5,0.5,0,0,0,0
"A Flintoff","A Nehra",0.5,0.25,0.25,0,0,0
"A Flintoff","DJ Bravo",0.571428571428571,0,0,0.142857142857143,0.142857142857143,0.142857142857143
"A Flintoff","DL Vettori",0.5,0.333333333333333,0.166666666666667,0,0,0
"A Flintoff","DP Nannes",1,0,0,0,0,0
"A Flintoff","DW Steyn",0.25,0.5,0,0,0.125,0.125
"A Flintoff","Harbhajan Singh",0.6,0.4,0,0,0,0
"A Flintoff","KP Pietersen",0.25,0.5,0,0,0.25,0
"A Flintoff","MK Tiwary",0,1,0,0,0,0
"A Flintoff","P Kumar",0,1,0,0,0,0
"A Flintoff","PJ Sangwan",0.25,0.5,0,0,0.25,0
"A Flintoff","RR Raje",0,1,0,0,0,0
"A Flintoff","SL Malinga",1,0,0,0,0,0
"A Flintoff","ST Jayasuriya",0,0.75,0,0,0.25,0
"A Flintoff","Z Khan",0.75,0.25,0,0,0,0
"A Kumble","A Flintoff",0.5,0.5,0,0,0,0
"A Kumble","A Mishra",0,1,0,0,0,0
"A Kumble","AB McDonald",0,1,0,0,0,0
