"batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"A Ashish Reddy","A Nehra",1,9,0.111111111111111,0.888888888888889
"A Ashish Reddy","BW Hilfenhaus",1,2,0.5,0.5
"A Ashish Reddy","DJ Bravo",1,13,0.0769230769230769,0.923076923076923
"A Ashish Reddy","KA Pollard",1,3,0.333333333333333,0.666666666666667
"A Ashish Reddy","M Morkel",1,5,0.2,0.8
"A Ashish Reddy","MM Patel",1,2,0.5,0.5
"A Ashish Reddy","P Awana",1,2,0.5,0.5
"A Ashish Reddy","R Vinay Kumar",2,11,0.181818181818182,0.818181818181818
"A Ashish Reddy","RP Singh",1,2,0.5,0.5
"A Ashish Reddy","SMSM Senanayake",1,4,0.25,0.75
"A Ashish Reddy","SR Watson",1,5,0.2,0.8
"A Ashish Reddy","STR Binny",1,4,0.25,0.75
"A Chopra","DW Steyn",1,4,0.25,0.75
"A Chopra","JR Hopes",1,2,0.5,0.5
"A Chopra","PJ Sangwan",1,10,0.1,0.9
"A Chopra","PP Ojha",1,6,0.166666666666667,0.833333333333333
"A Choudhary","MM Sharma",1,4,0.25,0.75
"A Flintoff","A Nehra",1,4,0.25,0.75
"A Flintoff","Harbhajan Singh",1,5,0.2,0.8
"A Kumble","Sohail Tanvir",1,2,0.5,0.5
"A Kumble","YA Abdulla",1,2,0.5,0.5
"A Mishra","A Symonds",1,1,1,0
"A Mishra","CRD Fernando",1,4,0.25,0.75
"A Mishra","DE Bollinger",1,5,0.2,0.8
"A Mishra","GB Hogg",1,6,0.166666666666667,0.833333333333333
"A Mishra","Harmeet Singh",1,1,1,0
"A Mishra","JJ Bumrah",1,2,0.5,0.5
"A Mishra","JP Faulkner",1,3,0.333333333333333,0.666666666666667
"A Mishra","KA Pollard",1,10,0.1,0.9
"A Mishra","Kamran Khan",1,1,1,0
"A Mishra","LR Shukla",1,1,1,0
"A Mishra","MA Starc",1,3,0.333333333333333,0.666666666666667
"A Mishra","MM Patel",1,17,0.0588235294117647,0.941176470588235
"A Mishra","MR Marsh",1,8,0.125,0.875
"A Mishra","P Negi",1,6,0.166666666666667,0.833333333333333
"A Mishra","PC Valthaty",1,1,1,0
