Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
VR Aaron,2017-2017,6,2,1,4,4,4.00,10,40.00,0,0,0,0,0
KJ Abbott,2016-2016,5,3,2,13,12*,13.00,8,162.50,0,0,1,0,1
YA Abdulla,2009-2010,11,1,1,0,0*,-,1,0.00,0,0,0,0,0
L Ablish,2010-2011,3,1,1,0,0*,-,2,0.00,0,0,0,0,0
AD Nath,2018-2018,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0
MA Agarwal,2018-2018,11,11,1,120,30,12.00,94,127.65,0,0,1,9,5
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Anureet Singh,2015-2017,17,7,3,33,15,8.25,43,76.74,0,0,2,2,1
R Ashwin,2018-2018,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5
P Awana,2012-2014,33,7,5,5,4*,2.50,14,35.71,0,0,2,0,0
Azhar Mahmood,2012-2013,22,20,2,382,80,21.22,296,129.05,0,2,2,38,13
GJ Bailey,2014-2015,30,29,9,516,61*,25.80,380,135.78,0,2,0,41,17
L Balaji,2014-2014,9,2,1,1,1*,1.00,3,33.33,0,0,1,0,0
AB Barath,2010-2010,3,3,1,42,33,21.00,42,100.00,0,0,0,5,1
F Behardien,2016-2016,3,3,1,14,9*,7.00,13,107.69,0,0,1,2,0
BA Bhatt,2011-2013,17,2,1,6,6*,6.00,7,85.71,0,0,1,0,1
Bipul Sharma,2010-2013,15,9,5,104,35*,26.00,72,144.44,0,0,0,8,3
MS Bisla,2010-2010,10,10,0,218,75,21.80,178,122.47,0,1,1,27,6
RS Bopara,2009-2010,15,14,1,386,84,29.69,333,115.91,0,3,1,33,10
RR Bose,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
KC Cariappa,2016-2017,9,4,1,15,12*,5.00,18,83.33,0,0,0,0,1
PP Chawla,2008-2013,87,52,21,401,24*,12.93,355,112.95,0,0,7,36,12
SD Chitnis,2011-2012,7,5,1,75,38,18.75,71,105.63,0,0,0,8,1
P Dharmani,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
R Dhawan,2014-2016,20,13,9,132,25*,33.00,114,115.78,0,0,0,10,4
P Dogra,2012-2012,3,3,1,15,6,7.50,24,62.50,0,0,0,0,0
JP Faulkner,2012-2012,2,2,1,14,11*,14.00,13,107.69,0,0,0,0,0
AJ Finch,2018-2018,10,9,1,134,46,16.75,100,134.00,0,0,2,6,8
Gagandeep Singh,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-
CH Gayle,2018-2018,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27
AC Gilchrist,2011-2013,34,34,3,849,106,27.38,667,127.28,1,4,3,103,28
K Goel,2008-2010,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9
MS Gony,2013-2013,8,5,1,45,42,11.25,25,180.00,0,0,2,4,3
MJ Guptill,2017-2017,7,7,1,132,50*,22.00,88,150.00,0,1,1,17,5
Gurkeerat Singh,2012-2017,30,24,3,342,51,16.28,272,125.73,0,1,4,36,9
Harmeet Singh,2012-2013,10,3,1,18,14,9.00,11,163.63,0,0,0,3,0
RJ Harris,2011-2013,21,11,4,51,17,7.28,55,92.72,0,0,2,4,1
BE Hendricks,2014-2015,7,3,2,1,1*,1.00,3,33.33,0,0,1,0,0
MJ Henry,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
JR Hopes,2008-2008,11,11,0,221,71,20.09,148,149.32,0,2,1,27,8
DJ Hussey,2011-2013,36,34,6,695,68*,24.82,577,120.45,0,2,1,51,26
DPMD Jayawardene,2008-2010,36,35,12,837,110*,36.39,594,140.90,1,2,1,87,25
MG Johnson,2014-2016,26,19,10,92,16*,10.22,100,92.00,0,0,2,5,4
M Kaif,2010-2010,4,3,0,28,14,9.33,30,93.33,0,0,0,2,0
Karanveer Singh,2014-2015,9,4,3,12,5*,12.00,17,70.58,0,0,0,1,0
KD Karthik,2011-2011,14,13,2,282,69,25.63,220,128.18,0,1,1,32,7
M Kartik,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
SM Katich,2008-2009,11,11,1,241,75,24.10,186,129.56,0,2,1,25,8
U Kaul,2008-2008,5,1,1,0,0*,-,1,0.00,0,0,0,0,0
T Kohli,2009-2009,2,2,1,1,1,1.00,4,25.00,0,0,0,0,0
P Kumar,2011-2013,44,21,9,109,24,9.08,100,109.00,0,0,3,7,5
B Lee,2008-2010,13,10,6,56,16*,14.00,56,100.00,0,0,1,5,2
R McLaren,2011-2011,6,4,1,90,51*,30.00,96,93.75,0,1,0,7,1
VS Malik,2009-2011,9,1,0,6,6,6.00,5,120.00,0,0,0,1,0
Mandeep Singh,2011-2014,41,38,2,763,77*,21.19,632,120.72,0,3,4,95,8
SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
