Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
AN Ahmed,2010-2013,10,2,2,22,18*,-,20,110.00,0,0,0,1,1
CJ Anderson,2014-2015,16,15,3,379,95*,31.58,278,136.33,0,3,0,32,21
STR Binny,2010-2010,1,1,0,8,8,8.00,5,160.00,0,0,0,1,0
AC Blizzard,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2
DJ Bravo,2008-2010,30,25,4,457,70*,21.76,390,117.17,0,3,0,38,17
JJ Bumrah,2013-2018,61,10,7,35,16*,11.66,37,94.59,0,0,2,2,1
JC Buttler,2016-2017,24,24,3,527,77,25.09,361,145.98,0,1,1,50,26
YS Chahal,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
UBT Chand,2015-2016,7,6,0,102,58,17.00,87,117.24,0,1,1,13,2
SD Chitnis,2008-2008,3,2,0,18,15,9.00,10,180.00,0,0,0,1,1
NM Coulter-Nile,2013-2013,1,1,0,9,9,9.00,6,150.00,0,0,0,0,1
BCJ Cutting,2018-2018,9,6,2,96,37,24.00,58,165.51,0,0,0,5,8
A Dananjaya,2018-2018,1,1,1,4,4*,-,5,80.00,0,0,0,0,0
M de Lange,2014-2015,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0
R Dhawan,2013-2013,6,4,1,21,14,7.00,21,100.00,0,0,1,3,0
S Dhawan,2009-2010,15,14,0,231,56,16.50,215,107.44,0,2,1,26,3
JP Duminy,2009-2018,26,23,8,565,62,37.66,496,113.91,0,5,1,42,17
BR Dunk,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0
CRD Fernando,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0
AJ Finch,2015-2015,3,3,1,23,10*,11.50,33,69.69,0,0,0,4,0
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8
CM Gautam,2014-2014,9,9,2,121,33,17.28,111,109.00,0,0,0,13,5
HH Gibbs,2012-2012,3,3,1,81,66*,40.50,88,92.04,0,1,0,8,2
S Gopal,2014-2016,6,3,1,14,11,7.00,27,51.85,0,0,0,1,0
MJ Guptill,2016-2016,3,3,0,57,48,19.00,55,103.63,0,0,0,3,3
Harbhajan Singh,2008-2017,136,84,35,799,64,16.30,561,142.42,0,1,13,76,41
MEK Hussey,2014-2014,9,9,0,209,56,23.22,182,114.83,0,2,0,17,7
Ishan Kishan,2018-2018,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17
DJ Jacobs,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4
ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
MG Johnson,2013-2017,22,9,5,59,13*,14.75,53,111.32,0,0,0,3,3
KD Karthik,2012-2013,36,33,2,748,86,24.12,624,119.87,0,2,3,84,16
Z Khan,2009-2014,26,12,9,40,23*,13.33,31,129.03,0,0,1,3,2
MA Khote,2008-2008,4,3,1,24,9,12.00,22,109.09,0,0,0,2,1
DS Kulkarni,2008-2013,33,8,5,23,10*,7.66,42,54.76,0,0,0,2,0
P Kumar,2014-2014,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
RE Levi,2012-2012,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4
E Lewis,2018-2018,13,13,0,382,65,29.38,276,138.40,0,2,2,32,24
MJ McClenaghan,2015-2018,51,20,10,74,20,7.40,54,137.03,0,0,5,3,7
CJ McKay,2012-2012,2,1,0,8,8,8.00,15,53.33,0,0,0,0,0
R McLaren,2010-2010,10,7,4,66,40,22.00,69,95.65,0,0,1,7,0
C Madan,2010-2010,1,1,0,15,15,15.00,19,78.94,0,0,0,3,0
SL Malinga,2009-2017,110,25,9,88,17,5.50,99,88.88,0,0,6,6,5
M Markande,2018-2018,14,6,4,21,7*,10.50,24,87.50,0,0,0,2,0
GJ Maxwell,2013-2013,3,3,1,36,23,18.00,27,133.33,0,0,1,1,4
Mohammad Ashraful,2009-2009,1,1,0,2,2,2.00,10,20.00,0,0,0,0,0
AG Murtaza,2010-2011,8,1,1,2,2*,-,5,40.00,0,0,0,0,0
Mustafizur Rahman,2018-2018,7,2,1,1,1,1.00,3,33.33,0,0,0,0,0
C Nanda,2009-2009,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
GR Napier,2009-2009,1,1,0,15,15,15.00,16,93.75,0,0,0,1,0
AM Nayar,2008-2010,30,24,5,457,45*,24.05,341,134.01,0,0,0,34,18
A Nehra,2008-2008,14,4,3,3,2*,3.00,13,23.07,0,0,1,0,0
A Nel,2008-2008,1,1,0,0,0,0.00,0,-,0,0,1,0,0
PP Ojha,2012-2015,38,9,5,10,3,2.50,26,38.46,0,0,1,0,0
JDP Oram,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
MK Pandey,2008-2008,3,2,0,3,3,1.50,9,33.33,0,0,1,0,0
HH Pandya,2015-2018,50,46,18,666,61*,23.78,480,138.75,0,2,2,44,39
KH Pandya,2016-2018,39,33,10,708,86,30.78,460,153.91,0,1,0,68,30
