Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
UA Birla,2013-2013,2,1,0,7,7,7.00,14,50.00,0,0,0,1,0
MJ Clarke,2012-2012,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0
AB Dinda,2012-2013,20,6,3,11,6*,3.66,16,68.75,0,0,2,1,0
JP Faulkner,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Ferguson,2011-2012,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0
AJ Finch,2013-2013,14,14,0,456,67,32.57,336,135.71,0,4,1,54,16
SC Ganguly,2011-2012,19,18,1,318,45,18.70,330,96.36,0,0,1,33,6
RV Gomez,2013-2013,2,1,1,4,4*,-,1,400.00,0,0,0,1,0
Harpreet Singh,2011-2012,3,3,1,20,13,10.00,26,76.92,0,0,0,0,0
AA Jhunjhunwala,2011-2011,3,2,0,10,10,5.00,18,55.55,0,0,1,2,0
Kamran Khan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,2011-2012,17,7,6,38,14*,38.00,36,105.55,0,0,0,2,1
B Kumar,2011-2013,31,19,9,93,24*,9.30,112,83.03,0,0,1,7,1
NL McCullum,2011-2011,2,2,1,26,15,26.00,22,118.18,0,0,0,0,1
AP Majumdar,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2
M Manhas,2011-2013,23,19,5,247,42*,17.64,236,104.66,0,0,4,19,8
MR Marsh,2011-2013,14,11,2,190,38,21.11,155,122.58,0,0,0,8,13
AD Mathews,2012-2013,20,18,4,299,40,21.35,247,121.05,0,0,1,10,14
BAW Mendis,2013-2013,3,1,0,2,2,2.00,4,50.00,0,0,0,0,0
MD Mishra,2011-2012,7,6,1,71,37*,14.20,64,110.93,0,0,0,6,2
SS Mundhe,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
AG Murtaza,2012-2013,4,2,1,8,5,8.00,9,88.88,0,0,0,1,0
AM Nayar,2013-2013,11,9,3,66,25*,11.00,73,90.41,0,0,1,5,0
A Nehra,2012-2012,13,2,2,11,9*,-,12,91.66,0,0,0,1,0
TD Paine,2011-2011,2,2,0,10,8,5.00,26,38.46,0,0,0,0,0
IC Pandey,2013-2013,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0
MK Pandey,2011-2013,27,25,3,525,80*,23.86,476,110.29,0,3,5,51,15
WD Parnell,2011-2013,18,11,3,61,16,7.62,73,83.56,0,0,0,4,1
Parvez Rasool,2013-2013,2,2,1,5,4*,5.00,9,55.55,0,0,0,0,0
S Rana,2011-2011,2,1,0,18,18,18.00,16,112.50,0,0,0,2,0
M Rawat,2013-2013,2,2,1,5,5,5.00,11,45.45,0,0,0,0,0
KW Richardson,2013-2013,3,2,0,34,26,17.00,36,94.44,0,0,0,2,1
JD Ryder,2011-2012,24,24,1,548,86,23.82,409,133.98,0,4,2,60,19
MN Samuels,2012-2013,10,10,1,132,46,14.66,141,93.61,0,0,0,8,5
R Sharma,2011-2013,36,16,5,37,13,3.36,49,75.51,0,0,7,2,2
GC Smith,2011-2011,4,4,0,42,24,10.50,51,82.35,0,0,1,6,0
SPD Smith,2012-2013,22,21,8,521,47*,40.07,399,130.57,0,0,0,39,18
TL Suman,2013-2013,7,5,0,52,23,10.40,58,89.65,0,0,1,8,0
JE Taylor,2011-2011,5,2,1,3,2,3.00,3,100.00,0,0,0,0,0
LRPL Taylor,2013-2013,5,5,0,63,19,12.60,76,82.89,0,0,0,2,1
AC Thomas,2011-2012,15,4,2,20,12,10.00,19,105.26,0,0,0,1,1
K Upadhyay,2012-2013,3,2,2,12,11*,-,9,133.33,0,0,0,0,1
RV Uthappa,2011-2013,46,45,4,1103,75,26.90,923,119.50,0,4,2,107,32
SB Wagh,2011-2011,7,2,0,2,2,1.00,3,66.66,0,0,1,0,0
LJ Wright,2012-2013,7,6,1,106,44,21.20,60,176.66,0,0,0,16,3
Yuvraj Singh,2011-2013,27,26,4,581,66*,26.40,451,128.82,0,2,1,38,33
