Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
Ankit Sharma,2014-2018,8,4,1,41,30,13.66,36,113.88,0,0,1,5,1
Anureet Singh,2018-2018,3,1,1,3,3*,-,4,75.00,0,0,0,0,0
JC Archer,2018-2018,10,8,3,15,8,3.00,21,71.42,0,0,3,2,0
SA Asnodkar,2008-2011,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10
S Badree,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,2014-2015,14,8,2,67,23,11.16,54,124.07,0,0,1,4,3
STR Binny,2011-2018,64,49,16,661,48*,20.03,523,126.38,0,0,6,49,24
J Botha,2009-2012,24,19,8,335,67*,30.45,292,114.72,0,1,0,29,3
JC Buttler,2018-2018,13,13,3,548,95*,54.80,353,155.24,0,5,0,52,21
LA Carseldine,2009-2009,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0
UBT Chand,2014-2014,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0
A Chandila,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0
AA Chavan,2011-2013,13,3,1,12,7*,6.00,11,109.09,0,0,0,2,0
SD Chitnis,2009-2009,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0
P Chopra,2018-2018,1,1,0,8,8,8.00,6,133.33,0,0,0,2,0
KK Cooper,2012-2014,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8
BCJ Cutting,2014-2014,1,1,0,8,8,8.00,6,133.33,0,0,0,0,1
P Dogra,2010-2010,9,8,0,107,41,13.37,106,100.94,0,0,1,4,5
AP Dole,2010-2010,3,2,0,34,30,17.00,22,154.54,0,0,0,3,1
ND Doshi,2011-2011,3,1,0,0,0,0.00,13,0.00,0,0,1,0,0
R Dravid,2011-2013,46,45,2,1276,66,29.67,1151,110.86,0,7,0,171,11
JP Faulkner,2013-2015,42,32,15,382,46,22.47,260,146.92,0,0,0,25,23
