Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
VR Aaron,2014-2016,24,5,4,41,17*,41.00,37,110.81,0,0,0,2,2
SA Abbott,2015-2015,2,2,0,15,14,7.50,13,115.38,0,0,0,1,1
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0.00,0,0,0,0,0
MA Agarwal,2011-2013,29,24,1,433,64*,18.82,340,127.35,0,1,1,41,22
AN Ahmed,2014-2015,7,4,3,14,5*,14.00,6,233.33,0,0,0,3,0
B Akhil,2008-2010,14,10,5,63,27*,12.60,46,136.95,0,0,2,5,4
MM Ali,2018-2018,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6
CJ Anderson,2018-2018,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1
KP Appanna,2009-2012,14,3,2,2,1*,2.00,4,50.00,0,0,0,0,0
S Aravind,2011-2017,38,12,8,59,14*,14.75,57,103.50,0,0,2,7,0
KB Arun Karthik,2011-2013,16,7,2,48,19*,9.60,46,104.34,0,0,1,4,1
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100.00,0,0,1,5,0
M Ashwin,2018-2018,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0
Avesh Khan,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
S Badree,2017-2017,7,5,0,13,8,2.60,23,56.52,0,0,2,0,0
RR Bhatkal,2012-2012,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
STR Binny,2016-2017,22,13,4,141,21,15.66,115,122.60,0,0,0,11,7
R Bishnoi,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2
MS Bisla,2015-2015,2,2,0,37,20,18.50,30,123.33,0,0,0,6,1
MV Boucher,2008-2010,27,21,8,388,50*,29.84,303,128.05,0,1,0,32,13
YS Chahal,2014-2018,69,11,8,15,4*,5.00,32,46.87,0,0,1,0,0
S Chanderpaul,2008-2008,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0
B Chipli,2008-2008,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0
A Choudhary,2017-2017,5,3,2,25,15*,25.00,20,125.00,0,0,0,1,1
DT Christian,2013-2013,2,2,0,6,4,3.00,15,40.00,0,0,0,0,0
C de Grandhomme,2018-2018,9,8,3,131,40,26.20,84,155.95,0,0,0,4,10
Q de Kock,2018-2018,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8
AB de Villiers,2011-2018,113,103,24,3282,133*,41.54,2047,160.33,2,25,6,275,174
TM Dilshan,2011-2013,25,24,3,587,76*,27.95,534,109.92,0,5,3,78,8
AB Dinda,2014-2015,11,3,2,4,2*,4.00,12,33.33,0,0,1,0,0
