Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
KK Ahmed,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,2014-2014,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
Ankit Sharma,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
A Ashish Reddy,2013-2016,22,18,7,245,36*,22.27,164,149.39,0,0,0,14,13
Basil Thampi,2018-2018,4,2,1,3,3,3.00,6,50.00,0,0,0,0,0
RK Bhui,2018-2018,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0
Bipul Sharma,2015-2017,18,8,4,83,27*,20.75,51,162.74,0,0,0,3,6
RS Bopara,2015-2015,9,8,3,145,41,29.00,120,120.83,0,0,1,6,6
TA Boult,2015-2016,8,-,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,2018-2018,4,4,1,75,43*,25.00,48,156.25,0,0,0,1,8
BCJ Cutting,2016-2017,8,7,3,116,39*,29.00,60,193.33,0,0,1,9,9
Q de Kock,2013-2013,3,3,0,6,4,2.00,15,40.00,0,0,1,1,0
S Dhawan,2013-2018,85,85,12,2518,92*,34.49,2026,124.28,0,19,3,294,49
AJ Finch,2014-2014,13,13,2,309,88*,28.09,263,117.49,0,2,0,31,9
SP Goswami,2018-2018,6,3,0,52,35,17.33,40,130.00,0,0,0,6,1
AD Hales,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6
MC Henriques,2014-2017,42,37,10,755,74*,27.96,586,128.83,0,5,2,63,23
JO Holder,2014-2014,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1
DJ Hooda,2016-2018,36,29,8,309,34,14.71,254,121.65,0,0,0,16,12
CJ Jordan,2017-2018,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
S Kaul,2017-2018,27,5,2,3,2,1.00,16,18.75,0,0,1,0,0
B Kumar,2014-2018,71,19,8,78,21,7.09,61,127.86,0,0,3,9,2
P Kumar,2015-2015,12,4,1,17,12,5.66,25,68.00,0,0,1,1,0
A Mishra,2013-2014,27,10,3,93,30,13.28,103,90.29,0,0,3,9,0
Mohammad Nabi,2017-2018,5,3,0,20,14,6.66,15,133.33,0,0,0,3,0
Mohammed Siraj,2017-2017,6,-,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,2015-2016,16,15,2,310,63,23.84,256,121.09,0,2,1,19,15
Mustafizur Rahman,2016-2017,17,-,-,-,-,-,-,-,-,-,-,-,-
A Nehra,2016-2017,14,4,4,1,1*,-,1,100.00,0,0,0,0,0
NV Ojha,2014-2017,56,39,9,584,79*,19.46,485,120.41,0,1,3,35,29
MK Pandey,2018-2018,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5
Parvez Rasool,2014-2015,5,2,2,2,2*,-,2,100.00,0,0,0,0,0
PA Patel,2013-2013,13,13,0,294,61,22.61,255,115.29,0,1,0,37,4
IK Pathan,2014-2014,10,6,4,55,23*,27.50,54,101.85,0,0,0,5,0
YK Pathan,2018-2018,15,13,4,260,45*,28.88,200,130.00,0,0,0,22,11
NLTC Perera,2013-2013,16,14,4,233,40,23.30,163,142.94,0,0,0,12,14
KL Rahul,2014-2015,20,16,3,308,46,23.69,290,106.20,0,0,0,20,8
Rashid Khan,2017-2018,31,10,3,70,34*,10.00,40,175.00,0,0,2,3,7
DB Ravi Teja,2013-2013,2,2,1,14,10,14.00,17,82.35,0,0,0,0,0
PA Reddy,2013-2013,7,7,0,91,27,13.00,101,90.09,0,0,0,9,0
WP Saha,2018-2018,11,10,2,122,35,15.25,102,119.60,0,0,1,17,1
BB Samantray,2013-2013,8,7,2,123,55,24.60,111,110.81,0,1,1,13,2
DJG Sammy,2013-2014,20,18,5,282,60,21.69,223,126.45,0,1,2,15,18
Sandeep Sharma,2018-2018,12,3,1,0,0*,0.00,4,0.00,0,0,2,0,0
KC Sangakkara,2013-2013,9,9,0,120,28,13.33,136,88.23,0,0,0,13,0
V Shankar,2017-2017,4,4,2,101,63*,50.50,75,134.66,0,1,0,12,1
Shakib Al Hasan,2018-2018,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5
I Sharma,2013-2015,23,2,2,0,0*,-,0,-,0,0,0,0,0
KV Sharma,2013-2016,46,27,13,267,39*,19.07,230,116.08,0,0,1,13,12
BB Sran,2016-2017,15,4,4,4,2*,-,4,100.00,0,0,0,0,0
B Stanlake,2018-2018,4,1,1,5,5*,-,2,250.00,0,0,0,1,0
DW Steyn,2013-2015,37,15,9,95,19*,15.83,75,126.66,0,0,2,9,2
AP Tare,2016-2016,3,2,0,8,8,4.00,15,53.33,0,0,1,1,0
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10.00,17,58.82,0,0,0,0,0
Y Venugopal Rao,2014-2014,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0
GH Vihari,2013-2015,22,21,3,280,46,15.55,313,89.45,0,0,0,23,1
DA Warner,2014-2017,59,59,10,2579,126,52.63,1746,147.70,1,26,2,255,102
CL White,2013-2013,13,13,1,209,52,17.41,191,109.42,0,1,2,18,7
KS Williamson,2015-2018,32,32,5,1146,89,42.44,834,137.41,0,11,1,98,39
Yuvraj Singh,2016-2017,22,21,3,488,70*,27.11,356,137.07,0,2,1,52,21
