Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,,
S Ladda,2011-2013,3,3,6.0,0,60,1,1/18,60.00,10.00,36.0,0,0,1,0
AB Agarkar,2008-2010,27,27,79.0,0,694,18,3/25,38.55,8.78,26.3,0,0,2,0
Anureet Singh,2009-2009,3,2,5.0,0,47,2,2/35,23.50,9.40,15.0,0,0,0,0
Azhar Mahmood,2015-2015,1,1,3.0,0,41,0,-,-,13.66,-,0,0,0,0
L Balaji,2011-2013,35,35,124.3,2,920,33,4/18,27.87,7.38,22.6,1,0,6,0
SB Bangar,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Bhatia,2011-2013,46,43,129.0,0,931,32,3/22,29.09,7.21,24.1,0,0,10,0
MS Bisla,2011-2014,27,-,-,-,-,-,-,-,-,-,-,-,15,7
SE Bond,2010-2010,8,8,31.0,1,224,9,2/24,24.88,7.22,20.6,0,0,1,0
J Botha,2015-2015,4,4,10.0,0,81,1,1/32,81.00,8.10,60.0,0,0,4,0
MV Boucher,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,1,0
TA Boult,2017-2017,6,6,23.5,0,216,5,2/30,43.20,9.06,28.6,0,0,0,0
DM Bravo,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KC Cariappa,2015-2015,1,1,2.0,0,28,1,1/28,28.00,14.00,12.0,0,0,0,0
PP Chawla,2014-2018,57,56,178.5,0,1436,56,4/32,25.64,8.02,19.1,1,0,13,0
A Chopra,2008-2009,7,-,-,-,-,-,-,-,-,-,-,-,2,0
NM Coulter-Nile,2017-2017,8,8,28.2,0,228,15,3/20,15.20,8.04,11.3,0,0,2,0
PJ Cummins,2014-2015,4,4,14.0,1,126,2,1/29,63.00,9.00,42.0,0,0,1,0
TK Curran,2018-2018,5,5,10.1,0,118,6,2/19,19.66,11.60,10.1,0,0,1,0
DB Das,2008-2013,31,-,-,-,-,-,-,-,-,-,-,-,7,0
C de Grandhomme,2017-2017,12,9,16.0,0,135,4,3/4,33.75,8.43,24.0,0,0,2,0
M de Lange,2012-2012,3,3,10.0,0,107,3,3/34,35.66,10.70,20.0,0,0,0,0
AB Dinda,2008-2010,29,27,86.1,0,605,22,3/33,27.50,7.02,23.5,0,0,2,0
P Dogra,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,1,0
G Gambhir,2011-2017,108,-,-,-,-,-,-,-,-,-,-,-,20,0
SC Ganguly,2008-2010,40,16,36.0,0,268,8,2/21,33.50,7.44,27.0,0,0,15,0
RS Gavaskar,2010-2010,2,1,1.0,0,8,0,-,-,8.00,-,0,0,0,0
